											Enter value for : ATTRIBUTE15	
	UC3000030036	Purchased item	原材料;電控外購件;控制類;PLC擴展;通訊模塊;型號:FX3U-485-BD;品牌:三菱	0		EA	PYU		史展翼,	0		
	UC3000030037	Purchased item	原材料;電控外購件;控制類;PLC擴展;温度模块;Q64TCTT;Mitsubishi	0		ST	PYU		蔣紅軍	0		
	UC3000030039	Purchased item	原材料;電控外購件;控制類;PLC擴展;擴展IO模塊;QY40P;Mitsubishi	0		ST	PYU		蔣紅軍	0		
	UC3000030040	Purchased item	原材料;電控外購件;控制類;PLC擴展;电源模块;Q312B;Mitsubishi	0		ST	PYU		蔣紅軍	0		
	UC3000030041	Purchased item	原材料;電控外購件;控制類;PLC擴展;通訊模塊;QJ71C24;Mitsubishi	0		ST	PYU		蔣紅軍	0		
	UC3000030042	Purchased item	原材料;電控外購件;控制類;PLC擴展;擴展IO模塊;型號:QY40P;品牌:三菱	0		EA	PYU		王福丹,	0		
	UC3000030044	Purchased item	原材料;電控外購件;控制類;PLC擴展;模擬量模塊;型號:Q64AD2DA;品牌:三菱	0		EA	PYU		王福丹,	0		
	UC3000030045	Purchased item	原材料;電控外購件;控制類;PLC擴展;模擬量模塊;型號:PQW-AN-I-3C-485-ISO-0至10V（3通道0-10V采集隔离485通讯）;品牌:上海品全微电子	0		EA	PYU		任青閣,	0		
	UC3000030047	Purchased item	原材料;電控外購件;控制類;PLC擴展;温度模块;XC-E6TCA-P;信捷	0		G	PYU		蔣紅軍	0		
	UC3000030049	Purchased item	原材料;電控外購件;控制類;PLC擴展;模擬量模塊;型號:PQW-AN-I-8C-485-ISO-4-20MA（8通道4-20MA采集隔离485通讯）;品牌:上海品全微电子	0		EA	PYU		任青閣,	0		
	UC3000030053	Purchased item	原材料;電控外購件;控制類;PLC擴展;通訊模塊;XD-NES-ED，RS232或RS485;信捷	0		EA	PYU		蔣紅軍	6		
	UC3000030054	Purchased item	原材料;電控外購件;控制類;PLC擴展;模擬量模塊;XD-E4AD2DA（in4/out2）;信捷	0		EA	PYU		蔣紅軍	9		
	UC3000030057	Purchased item	原材料;電控外購件;控制類;PLC擴展;擴展IO模塊;XD-E16X16YT-E;信捷	0		EA	PYU		蔣紅軍	12		
	UC3000030063	Purchased item	原材料;電控外購件;控制類;PLC擴展;模擬量模塊;型號:XC-E8AD-H;品牌:信捷	0		EA	PYU		宋佳驥,jiaji.song	0		
	UC3000040001	Purchased item	原材料;電控外購件;控制類;伺服驅動器;220V;400W;MBDLN25SE;松下	0		EA	PYU		宋佳驥,jiaji.song	0		
	UC3000040002	Purchased item	原材料;電控外購件;控制類;伺服驅動器;220V;200W;MADLN15SE;松下	0		EA	PYU		宋佳驥,jiaji.song	0		
	UC3000040003	Purchased item	原材料;電控外購件;控制類;伺服驅動器;220V;400W;ASD-A0421-AB;臺達	0		EA	PYU		何艷玲,	0		
	UC3000040004	Purchased item	原材料;電控外購件;控制類;伺服驅動器;220V;400W;MR-JE-40A;三菱	0		EA	PYU		宋佳驥,jiaji.song	0		
	UC3000040005	Purchased item	原材料;電控外購件;控制類;伺服驅動器;電壓:220V;功率:750W;型號:ASD-A2-0721-L;品牌:臺達	0		EA	PYU		孫明,	0		
	UC3000040006	Purchased item	原材料;電控外購件;控制類;伺服驅動器;電壓:220V;功率:100W;型號:ASD-A3-0121-M;品牌:台達	0		EA	PYU		宋佳驥,jiaji.song	0		
	UC3000040007	Purchased item	原材料;電控外購件;控制類;伺服驅動器;電壓:220V;功率:400W;型號:ASD-A3-0421-M;品牌:台達	0		EA	PYU		宋佳驥,jiaji.song	0		
	UC3000040008	Purchased item	原材料;電控外購件;控制類;伺服驅動器;電壓:220V;功率:400W;型號:JASD4002-20B-RC（只支持MODBUS-RTU和CAN）;品牌:杰美康	0		EA	PYU		何艷玲,	0		
	UC3000040009	Purchased item	原材料;電控外購件;控制類;伺服驅動器;電壓:220V;功率:750W;型號:MR-JE-70A;品牌:三菱	0		EA	PYU		何艷玲,	0		
	UC3000040011	Purchased item	原材料;電控外購件;控制類;伺服驅動器;電壓:220V;功率:200W;型號:ASD-A3-0221-M;品牌:台達	0		EA	PYU		汪永恒,	0		
	UC3000040012	Purchased item	原材料;電控外購件;控制類;伺服驅動器;電壓:220V;功率:750;型號:ASD-A3-0721-M;品牌:台達	0		EA	PYU		宋佳驥,jiaji.song	0		
	UC3000040013	Purchased item	原材料;電控外購件;控制類;伺服驅動器;電壓:220V;功率:400W;型號:SV630AS2R8I;品牌:匯川	0		EA	PYU		汪永恒,	0		
	UC3000040014	Purchased item	原材料;電控外購件;控制類;伺服驅動器;電壓:220V;功率:100W;型號:SV630AS1R6I;品牌:匯川	0		EA	PYU		汪永恒,	0		
	UC3000040015	Purchased item	原材料;電控外購件;控制類;伺服驅動器;電壓:220V;功率:750W;型號:SV630AS5R5I;品牌:匯川	0		EA	PYU		宋佳驥,jiaji.song	0		
	UC3000040016	Purchased item	原材料;電控外購件;控制類;伺服驅動器;電壓:220V;功率:1500W;型號:SV630AS012I;品牌:匯川	0		EA	PYU		孟蘇龍,	0		
